TITLE	
DATA TYPE	RAMAN SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	13/11/14
TIME	16:30:29
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	0.2
XUNITS	1/CM
YUNITS	INTENSITY
FIRSTX	  305.9123
LASTX	 4546.7123
NPOINTS	   21205
FIRSTY	 24646.50000
MAXY	 57114.12500
MINY	  7833.52100
XYDATA
# START
335.7123	26646.9
335.9123	26658.3
336.1123	26669.6
336.3123	26680.9
336.5123	26692.1
336.7123	26703.2
336.9123	26714.2
337.1123	26725.1
337.3123	26735.9
337.5123	26746.5
337.7123	26756.9
337.9123	26767.2
338.1123	26777.3
338.3123	26787.2
338.5123	26797
338.7123	26806.6
338.9123	26816.2
339.1123	26825.6
339.3123	26834.9
339.5123	26844.1
339.7123	26853.3
339.9123	26862.5
340.1123	26871.6
340.3123	26880.7
340.5123	26889.8
340.7123	26899
340.9123	26908.2
341.1123	26917.4
341.3123	26926.7
341.5123	26936.1
341.7123	26945.6
341.9123	26955.3
342.1123	26965
342.3123	26975
342.5123	26985
342.7123	26995.3
342.9123	27005.8
343.1123	27016.5
343.3123	27027.4
343.5123	27038.6
343.7123	27050
343.9123	27061.7
344.1123	27073.5
344.3123	27085.6
344.5123	27097.8
344.7123	27110.2
344.9123	27122.8
345.1123	27135.5
345.3123	27148.4
345.5123	27161.3
345.7123	27174.4
345.9123	27187.6
346.1123	27200.8
346.3123	27214.2
346.5123	27227.5
346.7123	27240.9
346.9123	27254.4
347.1123	27267.8
347.3123	27281.3
347.5123	27294.7
347.7123	27308.1
347.9123	27321.5
348.1123	27334.8
348.3123	27348
348.5123	27361.2
348.7123	27374.2
348.9123	27387.2
349.1123	27400.1
349.3123	27412.9
349.5123	27425.6
349.7123	27438.3
349.9123	27450.9
350.1123	27463.5
350.3123	27476.1
350.5123	27488.6
350.7123	27501.2
350.9123	27513.7
351.1123	27526.3
351.3123	27538.9
351.5123	27551.5
351.7123	27564.2
351.9123	27577
352.1123	27589.8
352.3123	27602.7
352.5123	27615.7
352.7123	27628.7
352.9123	27641.9
353.1123	27655.3
353.3123	27668.7
353.5123	27682.3
353.7123	27696.1
353.9123	27710
354.1123	27724.1
354.3123	27738.3
354.5123	27752.7
354.7123	27767.3
354.9123	27782
355.1123	27796.8
355.3123	27811.7
355.5123	27826.7
355.7123	27841.8
355.9123	27857
356.1123	27872.2
356.3123	27887.5
356.5123	27902.7
356.7123	27918
356.9123	27933.3
357.1123	27948.6
357.3123	27963.9
357.5123	27979.1
357.7123	27994.2
357.9123	28009.3
358.1123	28024.4
358.3123	28039.3
358.5123	28054.1
358.7123	28068.8
358.9123	28083.4
359.1123	28097.9
359.3123	28112.2
359.5123	28126.3
359.7123	28140.2
359.9123	28154
360.1123	28167.6
360.3123	28181.1
360.5123	28194.4
360.7123	28207.6
360.9123	28220.6
361.1123	28233.4
361.3123	28246.1
361.5123	28258.7
361.7123	28271.1
361.9123	28283.4
362.1123	28295.6
362.3123	28307.6
362.5123	28319.5
362.7123	28331.3
362.9123	28342.9
363.1123	28354.5
363.3123	28365.9
363.5123	28377.2
363.7123	28388.4
363.9123	28399.4
364.1123	28410.4
364.3123	28421.3
364.5123	28432
364.7123	28442.7
364.9123	28453.3
365.1123	28463.8
365.3123	28474.2
365.5123	28484.6
365.7123	28494.9
365.9123	28505.3
366.1123	28515.6
366.3123	28526
366.5123	28536.3
366.7123	28546.7
366.9123	28557.2
367.1123	28567.7
367.3123	28578.4
367.5123	28589.1
367.7123	28599.9
367.9123	28610.9
368.1123	28622
368.3123	28633.2
368.5123	28644.7
368.7123	28656.3
368.9123	28668.1
369.1123	28680.2
369.3123	28692.4
